Source: https://search.cannabis.ca.gov/

licenseNumber,licenseType,licenseStatus,businessDbaName,issueDate,licenseDesignation
C10-0000093-LIC,Commercial -  Retailer,Active,Data Not Available,5/29/2019 0:00,Adult-Use and Medicinal
C10-0000094-LIC,Commercial -  Retailer,Active,DESERT ORGANIC SOLUTIONS COLLECTIVE,5/29/2019 0:00,Adult-Use and Medicinal
C10-0000095-LIC,Commercial -  Retailer,Active,The Vault Dispensary Lounge,5/29/2019 0:00,Adult-Use and Medicinal
C10-0000096-LIC,Commercial -  Retailer,Active,Data Not Available,5/29/2019 0:00,Adult-Use and Medicinal
C10-0000097-LIC,Commercial -  Retailer,Active,Therapeutic Healthcare Collective,5/30/2019 0:00,Adult-Use and Medicinal
C10-0000098-LIC,Commercial -  Retailer,Active,The Marijuana Factory,5/30/2019 0:00,Adult-Use and Medicinal
C10-0000099-LIC,Commercial -  Retailer,Active,KOLAS #106,5/31/2019 0:00,Adult-Use and Medicinal
C10-0000100-LIC,Commercial -  Retailer,Active,Medical Dispensary,5/31/2019 0:00,Medicinal
C10-0000101-LIC,Commercial -  Retailer,Active,The Lift,5/31/2019 0:00,Adult-Use and Medicinal
C10-0000102-LIC,Commercial -  Retailer,Active,The Green Heart,5/31/2019 0:00,Adult-Use and Medicinal
C10-0000103-LIC,Commercial -  Retailer,Active,Jungle Boys,5/31/2019 0:00,Adult-Use and Medicinal
C10-0000104-LIC,Commercial -  Retailer,Canceled,"HERBAL PAIN RELIEF CENTER, INC",5/31/2019 0:00,Adult-Use and Medicinal
C10-0000105-LIC,Commercial -  Retailer,Active,Tree House,5/31/2019 0:00,Adult-Use and Medicinal
C10-0000106-LIC,Commercial -  Retailer,Active,"JDI Farms, Inc.",6/3/2019 0:00,Adult-Use and Medicinal
C10-0000107-LIC,Commercial -  Retailer,Active,The Kind Center,6/3/2019 0:00,Adult-Use and Medicinal
C10-0000108-LIC,Commercial -  Retailer,Active,Data Not Available,6/3/2019 0:00,Adult-Use and Medicinal
C10-0000109-LIC,Commercial -  Retailer,Active,Data Not Available,6/4/2019 0:00,Medicinal
C10-0000110-LIC,Commercial -  Retailer,Expired,Data Not Available,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000111-LIC,Commercial -  Retailer,Active,Davis Cannabis Collective (DCC),6/4/2019 0:00,Adult-Use and Medicinal
C10-0000112-LIC,Commercial -  Retailer,Active,Stiiizy Retail Olive Drive,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000113-LIC,Commercial -  Retailer,Active,Cannavine,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000114-LIC,Commercial -  Retailer,Active,530 CANNABIS,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000115-LIC,Commercial -  Retailer,Active,The Spot,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000116-LIC,Commercial -  Retailer,Active,Zen Noho,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000117-LIC,Commercial -  Retailer,Active,White Fire,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000118-LIC,Commercial -  Retailer,Active,Hollywood High Grade,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000119-LIC,Commercial -  Retailer,Expired,The People's Remedy,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000120-LIC,Commercial -  Retailer,Active,High Season,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000121-LIC,Commercial -  Retailer,Active,Apothekare Dispensary,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000122-LIC,Commercial -  Retailer,Active,GREEN DOT MEDICINAL CANNABIS PATIENTS' GROUP,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000123-LIC,Commercial -  Retailer,Canceled,Emerald Pharms,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000124-LIC,Commercial -  Retailer,Active,HempHopStation,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000125-LIC,Commercial -  Retailer,Active,Data Not Available,6/4/2019 0:00,Adult-Use and Medicinal
C10-0000126-LIC,Commercial -  Retailer,Active,The Syndicate,6/5/2019 0:00,Adult-Use and Medicinal
C10-0000127-LIC,Commercial -  Retailer,Active,Barbary Coast,6/5/2019 0:00,Adult-Use and Medicinal
C10-0000128-LIC,Commercial -  Retailer,Revoked,Data Not Available,6/5/2019 0:00,Medicinal
C10-0000129-LIC,Commercial -  Retailer,Active,Sweetflower Melrose,6/5/2019 0:00,Adult-Use and Medicinal
C10-0000130-LIC,Commercial -  Retailer,Active,Project Cannabis North Hollywood,6/5/2019 0:00,Adult-Use and Medicinal
C10-0000131-LIC,Commercial -  Retailer,Active,Wonderland,6/5/2019 0:00,Adult-Use and Medicinal
C10-0000132-LIC,Commercial -  Retailer,Active,Data Not Available,6/5/2019 0:00,Adult-Use and Medicinal
C10-0000133-LIC,Commercial -  Retailer,Active,Purple Star MD,6/5/2019 0:00,Adult-Use and Medicinal
C10-0000134-LIC,Commercial -  Retailer,Active,Data Not Available,6/5/2019 0:00,Adult-Use and Medicinal
C10-0000135-LIC,Commercial -  Retailer,Active,Data Not Available,6/5/2019 0:00,Adult-Use and Medicinal
C10-0000136-LIC,Commercial -  Retailer,Active,Data Not Available,6/5/2019 0:00,Adult-Use and Medicinal
C10-0000137-LIC,Commercial -  Retailer,Active,Big Sur Cannabotanicals,6/6/2019 0:00,Adult-Use and Medicinal
C10-0000138-LIC,Commercial -  Retailer,Active,Data Not Available,6/6/2019 0:00,Adult-Use and Medicinal
C10-0000139-LIC,Commercial -  Retailer,Active,Data Not Available,6/6/2019 0:00,Adult-Use and Medicinal
C10-0000140-LIC,Commercial -  Retailer,Active,Goldn Bloom,6/7/2019 0:00,Adult-Use and Medicinal
C10-0000141-LIC,Commercial -  Retailer,Active,LAX CC,6/7/2019 0:00,Adult-Use and Medicinal
C10-0000142-LIC,Commercial -  Retailer,Active,Data Not Available,6/7/2019 0:00,Adult-Use and Medicinal
C10-0000143-LIC,Commercial -  Retailer,Active,Cannary West,6/7/2019 0:00,Adult-Use and Medicinal
C10-0000144-LIC,Commercial -  Retailer,Active,Firehouse 64,6/7/2019 0:00,Adult-Use and Medicinal
C10-0000145-LIC,Commercial -  Retailer,Active,Tropicanna,6/8/2019 0:00,Adult-Use and Medicinal
C10-0000146-LIC,Commercial -  Retailer,Active,Stash Studio City,6/8/2019 0:00,Adult-Use and Medicinal
C10-0000147-LIC,Commercial -  Retailer,Active,Data Not Available,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000148-LIC,Commercial -  Retailer,Active,The Kana Company,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000149-LIC,Commercial -  Retailer,Active,CHAI CANNABIS CO.,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000150-LIC,Commercial -  Retailer,Active,Redwood Coast Collective,6/10/2019 0:00,Adult-Use
C10-0000151-LIC,Commercial -  Retailer,Active,Weden,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000152-LIC,Commercial -  Retailer,Active,Elevated San Francisco,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000153-LIC,Commercial -  Retailer,Active,Green Solutions,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000154-LIC,Commercial -  Retailer,Active,Two Rivers Wellness,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000155-LIC,Commercial -  Retailer,Active,THE PEOPLE'S REMEDY,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000156-LIC,Commercial -  Retailer,Active,The Queen of Dragons,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000157-LIC,Commercial -  Retailer,Active,THE HIGHER PATH,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000158-LIC,Commercial -  Retailer,Active,Basa Inc,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000159-LIC,Commercial -  Retailer,Active,Lytt,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000160-LIC,Commercial -  Retailer,Active,Data Not Available,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000161-LIC,Commercial -  Retailer,Expired,Data Not Available,6/10/2019 0:00,Adult-Use and Medicinal
C10-0000162-LIC,Commercial -  Retailer,Expired,Data Not Available,6/11/2019 0:00,Adult-Use and Medicinal
C10-0000163-LIC,Commercial -  Retailer,Active,Modesto Cannabis Collective,6/11/2019 0:00,Adult-Use and Medicinal
C10-0000164-LIC,Commercial -  Retailer,Active,Mercy Wellness,6/11/2019 0:00,Adult-Use and Medicinal
C10-0000165-LIC,Commercial -  Retailer,Active,New Generation,6/11/2019 0:00,Adult-Use and Medicinal
C10-0000166-LIC,Commercial -  Retailer,Active,Stone Age Farmacy,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000167-LIC,Commercial -  Retailer,Active,Data Not Available,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000168-LIC,Commercial -  Retailer,Active,MR NICE GUY,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000169-LIC,Commercial -  Retailer,Active,The Joint,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000170-LIC,Commercial -  Retailer,Active,SCSA Group Inc,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000171-LIC,Commercial -  Retailer,Expired,Ohana Cannabis Co.,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000172-LIC,Commercial -  Retailer,Active,KindPeoples,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000173-LIC,Commercial -  Retailer,Active,MMD of Long Beach,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000174-LIC,Commercial -  Retailer,Active,KLOVER,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000175-LIC,Commercial -  Retailer,Active,"KASE'S JOURNEY, INC",6/12/2019 0:00,Adult-Use and Medicinal
C10-0000176-LIC,Commercial -  Retailer,Active,"JAYDEN'S JOURNEY COOPERATIVE, INC.",6/12/2019 0:00,Adult-Use and Medicinal
C10-0000177-LIC,Commercial -  Retailer,Active,MedMen Venice,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000178-LIC,Commercial -  Retailer,Active,MedMen Abbot Kinney,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000179-LIC,Commercial -  Retailer,Active,Happy Leaf,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000180-LIC,Commercial -  Retailer,Expired,Data Not Available,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000181-LIC,Commercial -  Retailer,Active,Data Not Available,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000182-LIC,Commercial -  Retailer,Active,Data Not Available,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000183-LIC,Commercial -  Retailer,Active,California Alternative Caregivers,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000184-LIC,Commercial -  Retailer,Active,Harvest,6/12/2019 0:00,Medicinal
C10-0000185-LIC,Commercial -  Retailer,Active,Thurston Law Firm,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000186-LIC,Commercial -  Retailer,Active,Vibe by California,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000187-LIC,Commercial -  Retailer,Active,SAFEPORT,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000188-LIC,Commercial -  Retailer,Active,GOLDEN HEALTH & WELLNESS,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000189-LIC,Commercial -  Retailer,Active,Green Kong,6/12/2019 0:00,Adult-Use and Medicinal
C10-0000190-LIC,Commercial -  Retailer,Active,Data Not Available,6/13/2019 0:00,Adult-Use
C10-0000191-LIC,Commercial -  Retailer,Active,California Caregivers Alliance,6/13/2019 0:00,Adult-Use and Medicinal
C10-0000192-LIC,Commercial -  Retailer,Active,Joy of Life Wellness,6/13/2019 0:00,Adult-Use and Medicinal
C10-0000193-LIC,Commercial -  Retailer,Active,Data Not Available,6/13/2019 0:00,Adult-Use and Medicinal
C10-0000194-LIC,Commercial -  Retailer,Active,Data Not Available,6/13/2019 0:00,Adult-Use and Medicinal
C10-0000195-LIC,Commercial -  Retailer,Active,Patient Care First,6/13/2019 0:00,Adult-Use and Medicinal
C10-0000196-LIC,Commercial -  Retailer,Active,Flavors,6/13/2019 0:00,Adult-Use and Medicinal
C10-0000197-LIC,Commercial -  Retailer,Active,Phenos,6/13/2019 0:00,Adult-Use and Medicinal
C10-0000198-LIC,Commercial -  Retailer,Active,Data Not Available,6/13/2019 0:00,Adult-Use and Medicinal
C10-0000199-LIC,Commercial -  Retailer,Active,Perfect Union,6/13/2019 0:00,Adult-Use and Medicinal
C10-0000200-LIC,Commercial -  Retailer,Active,The Green Cross,6/13/2019 0:00,Adult-Use and Medicinal
C10-0000201-LIC,Commercial -  Retailer,Canceled,Data Not Available,6/13/2019 0:00,Medicinal
C10-0000202-LIC,Commercial -  Retailer,Active,Urbana Geary,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000203-LIC,Commercial -  Retailer,Active,The Hook Dispensary,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000204-LIC,Commercial -  Retailer,Active,Riverbank Cannabis Collective,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000205-LIC,Commercial -  Retailer,Active,Urbana Mission,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000206-LIC,Commercial -  Retailer,Expired,Cathedral City Care Collective North,6/14/2019 0:00,Adult-Use
C10-0000207-LIC,Commercial -  Retailer,Active,OC3,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000208-LIC,Commercial -  Retailer,Active,Data Not Available,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000209-LIC,Commercial -  Retailer,Inactive,Data Not Available,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000210-LIC,Commercial -  Retailer,Active,High Note Culver City,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000211-LIC,Commercial -  Retailer,Active,Green City Collective,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000212-LIC,Commercial -  Retailer,Active,PEOPLE'S OC,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000213-LIC,Commercial -  Retailer,Active,THCSD,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000214-LIC,Commercial -  Retailer,Active,Flight on Cherry,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000215-LIC,Commercial -  Retailer,Active,"GLASSROCK, INC.",6/14/2019 0:00,Adult-Use and Medicinal
C10-0000216-LIC,Commercial -  Retailer,Active,Data Not Available,6/14/2019 0:00,Adult-Use and Medicinal
C10-0000217-LIC,Commercial -  Retailer,Expired,From the Earth,6/15/2019 0:00,Adult-Use and Medicinal
C10-0000218-LIC,Commercial -  Retailer,Active,Ecocann,6/17/2019 0:00,Adult-Use and Medicinal
C10-0000219-LIC,Commercial -  Retailer,Active,Data Not Available,6/17/2019 0:00,Adult-Use and Medicinal
C10-0000220-LIC,Commercial -  Retailer,Active,GENIUS,6/17/2019 0:00,Adult-Use and Medicinal
C10-0000221-LIC,Commercial -  Retailer,Active,Santa Barbara Collective,6/17/2019 0:00,Medicinal
C10-0000222-LIC,Commercial -  Retailer,Active,THECORNER,6/18/2019 0:00,Adult-Use and Medicinal
C10-0000223-LIC,Commercial -  Retailer,Active,Data Not Available,6/18/2019 0:00,Adult-Use
C10-0000224-LIC,Commercial -  Retailer,Active,East of Eden,6/18/2019 0:00,Adult-Use and Medicinal
C10-0000225-LIC,Commercial -  Retailer,Active,Riverside wellness,6/18/2019 0:00,Adult-Use and Medicinal
C10-0000226-LIC,Commercial -  Retailer,Active,The Atrium Group,6/18/2019 0:00,Adult-Use and Medicinal
C10-0000227-LIC,Commercial -  Retailer,Active,"562 Discount Med, Inc.",6/18/2019 0:00,Adult-Use and Medicinal
C10-0000228-LIC,Commercial -  Retailer,Active,LiT La Mesa,6/18/2019 0:00,Adult-Use and Medicinal
C10-0000229-LIC,Commercial -  Retailer,Active,New Age Care Center,6/18/2019 0:00,Adult-Use and Medicinal
C10-0000230-LIC,Commercial -  Retailer,Active,Connected Santa Ana,6/18/2019 0:00,Adult-Use and Medicinal
C10-0000231-LIC,Commercial -  Retailer,Active,Cookies 805,6/18/2019 0:00,Adult-Use and Medicinal
C10-0000232-LIC,Commercial -  Retailer,Active,Data Not Available,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000233-LIC,Commercial -  Retailer,Canceled,Data Not Available,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000234-LIC,Commercial -  Retailer,Active,KindPeoples,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000235-LIC,Commercial -  Retailer,Active,Dragonfly Wellness Center,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000236-LIC,Commercial -  Retailer,Active,Coast to Coast Collective,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000237-LIC,Commercial -  Retailer,Active,Santa Cruz Naturals,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000238-LIC,Commercial -  Retailer,Active,Data Not Available,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000239-LIC,Commercial -  Retailer,Active,GAS BLVD.,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000241-LIC,Commercial -  Retailer,Active,Purple Lotus Patient Center,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000242-LIC,Commercial -  Retailer,Active,Torrey Holistics,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000243-LIC,Commercial -  Retailer,Active,Exhalence,6/19/2019 0:00,Adult-Use and Medicinal
